2018-12-17 17:54:31 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-12-17 17:54:31 [restartedMain]  INFO o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-17 17:54:31 [restartedMain]  INFO o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-17 17:54:31 [restartedMain]  WARN o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration -Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2018-12-17 17:54:32 [restartedMain]  INFO o.s.b.d.a.OptionalLiveReloadServer -LiveReload server is running on port 35729
2018-12-17 17:54:32 [restartedMain]  INFO o.s.j.e.a.AnnotationMBeanExporter -Registering beans for JMX exposure on startup
2018-12-17 17:54:32 [restartedMain]  INFO o.s.j.e.a.AnnotationMBeanExporter -Bean with name 'dataSource' has been autodetected for JMX exposure
2018-12-17 17:54:32 [restartedMain]  INFO o.s.j.e.a.AnnotationMBeanExporter -Located MBean 'dataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=dataSource,type=HikariDataSource]
2018-12-17 17:54:32 [restartedMain]  INFO o.a.coyote.http11.Http11NioProtocol -Starting ProtocolHandler ["http-nio-8080"]
2018-12-17 17:54:32 [restartedMain]  INFO o.a.tomcat.util.net.NioSelectorPool -Using a shared selector for servlet write/read
2018-12-17 17:54:32 [restartedMain]  INFO o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
2018-12-17 18:32:56 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin -Application shutdown requested.
2018-12-17 18:32:56 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext -Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@9051c79: startup date [Mon Dec 17 17:54:21 CST 2018]; root of context hierarchy
2018-12-17 18:32:56 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.j.e.a.AnnotationMBeanExporter -Unregistering JMX-exposed beans on shutdown
2018-12-17 18:32:56 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.j.e.a.AnnotationMBeanExporter -Unregistering JMX-exposed beans
2018-12-17 18:32:56 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2018-12-17 18:32:56 [RMI TCP Connection(2)-127.0.0.1]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Shutdown initiated...
2018-12-17 18:32:56 [RMI TCP Connection(2)-127.0.0.1]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Shutdown completed.
2018-12-17 18:34:25 [main]  INFO o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.demo.Springboot2ApplicationTests], using SpringBootContextLoader
2018-12-17 18:34:25 [main]  INFO o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.example.demo.Springboot2ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-12-17 18:34:25 [main]  INFO o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.example.demo.Springboot2ApplicationTests]: Springboot2ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-12-17 18:34:26 [main]  INFO o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.example.demo.Springboot2Application for test class com.example.demo.Springboot2ApplicationTests
2018-12-17 18:34:26 [main]  INFO o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-12-17 18:34:26 [main]  INFO o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@614ca7df, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4738a206, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@66d3eec0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1e04fa0a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1af2d44a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@18d87d80, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@618425b5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@58695725, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@543588e6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@f5acb9d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4fb3ee4e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5d7148e2]
2018-12-17 18:34:27 [main]  INFO o.s.w.c.s.GenericWebApplicationContext -Refreshing org.springframework.web.context.support.GenericWebApplicationContext@4808bc9b: startup date [Mon Dec 17 18:34:27 CST 2018]; root of context hierarchy
2018-12-17 18:34:29 [main]  INFO o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$d65a19a7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-12-17 18:34:30 [main]  INFO o.s.o.j.LocalContainerEntityManagerFactoryBean -Building JPA container EntityManagerFactory for persistence unit 'default'
2018-12-17 18:34:30 [main]  INFO o.h.jpa.internal.util.LogHelper -HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-12-17 18:34:30 [main]  INFO org.hibernate.Version -HHH000412: Hibernate Core {5.2.17.Final}
2018-12-17 18:34:30 [main]  INFO org.hibernate.cfg.Environment -HHH000206: hibernate.properties not found
2018-12-17 18:34:30 [main]  INFO o.h.annotations.common.Version -HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-12-17 18:34:31 [main]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Starting...
2018-12-17 18:34:31 [main]  INFO com.zaxxer.hikari.pool.PoolBase -HikariPool-1 - Driver does not support get/set network timeout for connections. (com.mysql.jdbc.JDBC4Connection.getNetworkTimeout()I)
2018-12-17 18:34:31 [main]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Start completed.
2018-12-17 18:34:31 [main]  INFO org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2018-12-17 18:34:33 [main]  WARN org.hibernate.id.UUIDHexGenerator -HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
2018-12-17 18:34:34 [main]  INFO o.h.h.i.QueryTranslatorFactoryInitiator -HHH000397: Using ASTQueryTranslatorFactory
2018-12-17 18:34:34 [main]  INFO o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2018-12-17 18:34:35 [main]  INFO o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerAdapter -Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@4808bc9b: startup date [Mon Dec 17 18:34:27 CST 2018]; root of context hierarchy
2018-12-17 18:34:36 [main]  WARN o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration -spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/displayHeaderInfo1],methods=[GET]}" onto public void com.example.demo.controller.BookController.displayHeaderInfo1(org.springframework.http.HttpHeaders)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/displayHeaderInfo],methods=[GET]}" onto public void com.example.demo.controller.BookController.displayHeaderInfo(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/createBook1],methods=[POST],produces=[application/x-www-form-urlencoded]}" onto public java.lang.String com.example.demo.controller.BookController.createBook1(java.lang.String,java.lang.String)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/getBook1/{bookId}],methods=[GET]}" onto public java.lang.Long com.example.demo.controller.BookController.getBook1(java.lang.Long)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/getBook],methods=[GET]}" onto public java.lang.Long com.example.demo.controller.BookController.getBook(java.lang.Long,java.lang.String)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/updateBook/{bookId}],methods=[PUT]}" onto public java.lang.String com.example.demo.controller.BookController.updateBook(java.lang.Long,com.example.demo.entity.Book)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/createBook2],methods=[POST],produces=[text/xml]}" onto public java.lang.String com.example.demo.controller.BookController.createBook2(java.lang.String)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/createBook],methods=[POST],produces=[application/json]}" onto public java.lang.String com.example.demo.controller.BookController.createBook(com.example.demo.entity.Book)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/createBook3],methods=[POST],produces=[multipart/form-data]}" onto public java.lang.String com.example.demo.controller.BookController.createBook3(org.springframework.web.multipart.MultipartFile[],java.lang.String)
2018-12-17 18:34:36 [main]  INFO o.s.w.s.m.m.a.RequestMappingHandlerMapping -Mapped "{[/books/delete/{bookId}],methods=[DELETE]}" onto public java.lang.String com.example.demo.controller.BookController.deleteBook(java.lang.Long)
