2018-12-18 17:21:37 [restartedMain]  INFO org.hibernate.Version -HHH000412: Hibernate Core {5.2.17.Final}
2018-12-18 17:21:37 [restartedMain]  INFO org.hibernate.cfg.Environment -HHH000206: hibernate.properties not found
2018-12-18 17:21:37 [restartedMain]  INFO o.h.annotations.common.Version -HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-12-18 17:21:38 [restartedMain]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Starting...
2018-12-18 17:21:38 [restartedMain]  INFO com.zaxxer.hikari.pool.PoolBase -HikariPool-1 - Driver does not support get/set network timeout for connections. (com.mysql.jdbc.JDBC4Connection.getNetworkTimeout()I)
2018-12-18 17:21:38 [restartedMain]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Start completed.
2018-12-18 17:21:38 [restartedMain]  INFO org.hibernate.dialect.Dialect -HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2018-12-18 17:21:39 [restartedMain]  WARN org.hibernate.id.UUIDHexGenerator -HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
2018-12-18 17:21:40 [restartedMain]  INFO o.h.h.i.QueryTranslatorFactoryInitiator -HHH000397: Using ASTQueryTranslatorFactory
2018-12-18 17:21:40 [restartedMain]  INFO o.s.o.j.LocalContainerEntityManagerFactoryBean -Initialized JPA EntityManagerFactory for persistence unit 'default'
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.h.SimpleUrlHandlerMapping -Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-18 17:21:41 [restartedMain]  INFO o.s.w.s.m.m.a.RequestMappingHandlerAdapter -Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1530b114: startup date [Tue Dec 18 17:21:33 CST 2018]; root of context hierarchy
